,Wavelength (nm),GE 200 W Clear,GE Wattmiser 52 W frosted,Spot 60 W,GE Reveal 3 Way
437,786,0.34675,0.0421868,0.0372142,0.0682248
438,787,0.347178,0.0422697,0.0372865,0.0668254
439,788,0.347607,0.0423498,0.0373594,0.0652322
440,789,0.348067,0.0424432,0.0374201,0.0634375
441,790,0.348563,0.0425377,0.0374744,0.06148
442,791,0.349073,0.0426241,0.0375318,0.0594205
443,792,0.349502,0.0427086,0.0376031,0.0573396
444,793,0.34992,0.0427884,0.0376672,0.0553101
445,794,0.350366,0.0428643,0.0377249,0.0533955
446,795,0.350846,0.0429402,0.0377824,0.0516377
447,796,0.351304,0.0430219,0.0378511,0.0500375
448,797,0.351707,0.0431028,0.0379147,0.0485997
449,798,0.352052,0.0431761,0.0379679,0.0473315
450,799,0.352449,0.0432639,0.038021,0.0462449
451,800,0.352916,0.0433535,0.0380841,0.0453873
452,801,0.353407,0.0434342,0.0381504,0.0446688
453,802,0.353814,0.0435178,0.0382097,0.0438868
454,803,0.354149,0.0435862,0.0382688,0.0425117
455,804,0.354478,0.04365,0.0383255,0.0403978
456,805,0.354902,0.0437412,0.0383776,0.0377174
457,806,0.355099,0.0437906,0.0384294,0.0352028
458,807,0.355223,0.0438324,0.0384844,0.0336142
459,808,0.355524,0.0439155,0.038546,0.0333858
460,809,0.355942,0.043991,0.0386165,0.0346158
461,810,0.356372,0.0440733,0.0386783,0.0368789
462,811,0.356755,0.0441649,0.0387314,0.0397857
463,812,0.357116,0.044237,0.0387824,0.0429552
464,813,0.357403,0.0442904,0.0388428,0.0462112
465,814,0.357675,0.0443396,0.0389018,0.0494577
466,815,0.358048,0.0444082,0.0389552,0.0526096
467,816,0.358417,0.0444952,0.0390267,0.0555767
468,817,0.358744,0.0445704,0.0390883,0.0582485
469,818,0.359033,0.044617,0.0391376,0.0605823
470,819,0.359418,0.0446951,0.0391962,0.0626073
471,820,0.359805,0.0447894,0.0392563,0.0644159
472,821,0.360162,0.0448829,0.0393182,0.0660853
473,822,0.360574,0.0449609,0.0393839,0.0676835
474,823,0.360895,0.0450224,0.0394506,0.0692451
475,824,0.36114,0.0450745,0.0395058,0.0707543
476,825,0.361412,0.0451317,0.0395514,0.0722012
477,826,0.361771,0.0452021,0.0396166,0.07359
478,827,0.362117,0.0452747,0.0396798,0.0749346
479,828,0.362392,0.0453419,0.039739,0.0762435
480,829,0.362671,0.0454096,0.0398016,0.0775221
481,830,0.362952,0.0454657,0.0398606,0.0787595
482,831,0.363225,0.0455146,0.039912,0.0799577
483,832,0.363516,0.0455776,0.0399614,0.0811317
484,833,0.363758,0.0456467,0.0400266,0.0822939
485,834,0.363954,0.0457094,0.0400949,0.0833925
486,835,0.364146,0.04576,0.0401623,0.084413
487,836,0.364403,0.0458181,0.0402344,0.0853866
488,837,0.364721,0.0458862,0.0403011,0.0862429
489,838,0.365059,0.0459582,0.0403561,0.086977
490,839,0.365353,0.0460194,0.040401,0.0876161
491,840,0.365628,0.0460792,0.0404719,0.0881839
492,841,0.365889,0.0461399,0.0405473,0.0886844
493,842,0.366127,0.0462005,0.0406106,0.0891192
494,843,0.36642,0.0462716,0.0406807,0.0895093
495,844,0.366704,0.0463376,0.0407527,0.0898404
496,845,0.366953,0.0463922,0.040821,0.0901229
497,846,0.367171,0.0464407,0.0408768,0.0903759
498,847,0.367335,0.0465039,0.040956,0.0905944
499,848,0.36751,0.0465721,0.0410364,0.0907774
500,849,0.367798,0.0466219,0.0410947,0.0909205
501,850,0.36801,0.0466742,0.0411645,0.0910069
502,851,0.368209,0.0467334,0.0412322,0.0910255
503,852,0.36844,0.0467944,0.0412967,0.0909686
504,853,0.368643,0.0468386,0.0413813,0.0908443
505,854,0.36883,0.0468788,0.0414551,0.0906166
506,855,0.368994,0.046933,0.0415244,0.0902972
